album_name,interval,singer_name,song_name
海阔天空,322,易烊千玺,海阔天空（《奇迹·笨小孩》电影陪伴曲）
我看过,164,Zealot周星星,我看过
说说话,219,王靖雯,说说话
新地球 - 人 (Special Edition),277,林俊杰,新地球
冰冰,157,PokeB,冰冰
2022壬寅年中央广播电视总台春节联欢晚会,194,韩红,歌曲：这世界那么多人 (Live)
这世界那么多人,285,莫文蔚,这世界那么多人
Child - SM STATION : NCT LAB,211,MARK (????),Child
LaLa首张创作专辑,240,徐佳莹,一样的月光
星河入梦,274,INTO1-刘宇,星河入梦
笨小孩的道歉信,259,TF家族,笨小孩的道歉信
一闪一闪亮星星 影视原声带 Part 3：The Entire World & For Lovers,225,都智文,全世界在你身后
春日之花,131,等一下就回家,春日之花
一闪一闪亮星星 影视原声带 Part 1：Time Tunnel,192,萨吉,Cold
一起向未来,593,华语群星,一起向未来
伏线,240,指尖笑,伏线
海市蜃楼,232,三叔说,海市蜃楼
闪光的乐队 第6期,199,萧敬腾,奇迹再现 (Live)
中国Style,169,Q.luv,中国Style
错都错了,239,赵乃吉,错都错了
2022壬寅年中央广播电视总台春节联欢晚会,210,邓超,歌曲：时代感 (Live)
尾号6208,213,严浩翔,尾号6208
一起向未来,199,易烊千玺,一起向未来
Motordrome,194,M??,New Moon
雪花,199,易烊千玺,雪花
昔日的歌,169,马頔,昔日的歌
一闪一闪亮星星 影视原声带 Part 3：The Entire World & For Lovers,215,傅菁,全世界在我身后
你好，神枪手 影视原声专辑,163,硬糖少女303陈卓璇,连锁
新地球,280,林俊杰,手心的蔷薇
你好，神枪手 影视原声专辑,217,摩登兄弟刘宇宁,唯一的光
起风了,325,买辣椒也用券,起风了
一闪一闪亮星星 影视原声带 Part 2 ：Secret Code,199,赵贝尔,Shining For One Thing
一闪一闪亮星星 影视原声带 Part 2 ：Secret Code,170,赵贝尔,Run To You
温柔是,191,杨吉露,温柔是
平行恋人,215,刘至佳,平行恋人 (女版)
追光,203,时间VANESSA,去追逐光吧！
如果你愿意成为我的听者,280,周帝尧,如果你愿意成为我的听者
Y,173,严浩翔,Y
闪光的乐队 第6期,246,张震岳,爱要坦荡荡 (Live)
我听过一个故事,98,星川落子,春泥DJ
患者,223,赵政豪,患者
放开手,203,阿妹啊,放开手
Beg For You (feat. Rina Sawayama),168,Charli XCX,Beg For You (feat. Rina Sawayama)
me and U,160,等一下就回家,me and U
问心无愧最自在,260,岳云鹏,问心无愧最自在
一闪一闪亮星星 影视原声带 Part 4：Goodbye,240,赵贝尔,Goodbye (剧情版)
孤堡,231,ErU二悠,孤堡
一闪一闪亮星星 影视原声带 Part 3：The Entire World & For Lovers,192,萨吉,For Lovers (心动版)
貳零貳貳·春去来,192,闻人听書_,春去来
By My Side (The Produxer 2020 Short Radio),132,REDDJ,By My Side (The Produxer 2020 Short Radio)
可爱即正义,192,joysaaaa,可爱即正义
Lalele,215,INNA,Lalele
我们的爱,249,曹雨航,我们的爱
第一次做人,262,太一,负重一万斤长大
闪光的乐队 第6期,233,吴莫愁,姊姊妹妹站起来 (Live)
环游,244,麻辣仙人球,环游
宝丽金极品音色系列二合一之许冠杰,149,许冠杰,天才白痴梦
环球Disco,201,常超凡,环球Disco
说唱新世代 第9期,217,圣代,书院来信 (Live)
一闪一闪亮星星 影视原声带 Part 4：Goodbye,240,丁当,Goodbye (主题版)
入夜雪,261,陈子晴,入夜雪
乐队的夏天2 第13期,341,福禄寿FloruitShow,马 (Live)
你是落在我世界里的一束光,94,何倩倩,你是落在我世界里的一束光 (治愈版)
十一月的萧邦,295,周杰伦,一路向北
除夕,213,音阙诗听,除夕
一闪一闪亮星星 影视原声带 Part 1：Time Tunnel,168,赵贝尔,My Youth
予·君,210,等什么君(邓寓君),踏雪
Look 别发呆,178,WaShingZ曾华旭,Look 别发呆
京城雪,213,洛先生,京城雪
潮起,190,于冬然,潮起
继续谈情 新歌 & 精选,202,刘德华,恭喜发财
我知道你知道（I know you know）,183,果妹,我知道你知道（I know you know）
逞强,217,赵梓妃,逞强
如果云知道,104,李意涵,得失参半 枯荣与否
好运来,213,祖海,好运来
时光音乐会 第14期,276,张信哲,爱就一个字 (Live)
忘记你的南找到我的北,215,纪晓斌,忘记你的南找到我的北
闪光的乐队 第6期,248,杨坤,霓虹甜心 (Live)
热汤,278,单依纯,热汤
随时会下架,223,CHEESE.,如果呢
不让风知道,185,画久,不让风知道
I'll Do It How You Like It,187,PP krit,I'll Do It How You Like It
合十,229,王晓东,合十
心里的独白,243,尹昔眠,心里的独白
雨停了才送伞,216,魏佳艺,雨停了才送伞
Party time,204,Waiss ANG,Dein Weg
时光音乐会 第14期,247,凤凰传奇,万事如意 (Live)
空洞,178,彭十六,空洞
五月天 好好好想见到你 Mayday fly to 2022 线上特别版 LIVE,275,五月天,青空未来 (Live)
早晚,195,王靖雯,早晚
你是,236,刘可以,你是
自己,173,盛哲,自己
不能再做朋友,229,陈冠宇,不能再做朋友
重返地球,294,黄霄雲,重返地球
天使兽,206,果妹,天使兽
2022壬寅年中央广播电视总台春节联欢晚会,307,谭咏麟,朋友+ Sha LaLaLa (莎啦啦啦) (Live)
你之于我,237,吴奕妤,你之于我
TA,185,小杰同学,离开我你快乐吗 (Live)
New Girl,197,花粥,New Girl
Group Therapy 468,225,Seven Lions,See You Again(ABGT468)
