commit,price,shop,title
100万+,5999.00,Apple产品京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机
300万+,5199.00,Apple产品京东自营旗舰店,Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机
1万+,5999.00,久汇通手机旗舰店,Apple 苹果12 iPhone 12 5G手机（ 白条12期分期可选）下单尊享豪礼 绿色 256G 标配 +(20W闪充套装）
500万+,4399.00,Apple产品京东自营旗舰店,京品手机Apple iPhone 11 (A2223) 128GB 白色 移动联通电信4G手机 双卡双待
50万+,8999.00,Apple产品京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 128GB 远峰蓝色 支持移动联通电信5G 双卡双待手机
20万+,8799.00,Apple产品京东自营旗舰店,Apple iPhone 13 Pro (A2639) 256GB 远峰蓝色 支持移动联通电信5G 双卡双待手机
2000+,3249.00,好采机二手手机旗舰店,【二手99新】Apple iPhonex XSmax 苹果x XSmax 国行双卡双待手机 金色 256G全网通
10万+,5199.00,Apple产品京东自营旗舰店,Apple iPhone 13 mini (A2629) 128GB 星光色 手机 支持移动联通电信5G
20万+,5999.00,中国联通京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机【赠大王卡首月免月租】
5万+,9799.00,中国联通京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 256GB 金色 支持移动联通电信5G 双卡双待手机【赠大王卡首月免月租】
2万+,5758.00,京东之家官方旗舰店,Apple 苹果 iPhone 13（A2634）全网通5G手机 128G 午夜色 套装一：搭配 90天品胜碎屏保障
2万+,6088.00,酷族数码旗舰店,Apple/苹果 iPhone 13 (A2634)  全网通 5G手机【苹果12店内可选】 星光色 全网通 128G【官方标配】
5000+,6849.00,好采机二手手机旗舰店,【二手99新】Apple iPhone12ProMax 苹果12 ProMax国行原装二手 海蓝色 256G全网通
1万+,2199.00,靓机优品二手手机专营店,拍拍【二手9成新】Apple iPhone X 二手苹果X 二手手机 移动联通电信4G手机 银白色 256G 全新品牌电池（100%电池效率）
1万+,6458.00,京东电竞手机官方旗舰店,Apple 苹果 iPhone 13（A2634）【24期免息可选】全网通5G手机 蓝色 全网通 256GB【官方标配】
2000+,2349.00,数码海外京东自营专区,京东国际Apple苹果 iPhone SE (第二代) 64GB 白色 移动联通电信4G手机 日版未激活无锁机
20万+,5999.00,Apple产品京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机【购机补贴版】
5万+,2999.00,拍拍严选官方旗舰店,拍拍苹果 Apple  iPhone 11 苹果11 苹果二手手机 大陆国行备用机 黑色【评价有礼】 128G
2000+,6049.00,好采机二手手机旗舰店,【二手99新】Apple iPhone12Pro 苹果12 Pro 国行原装二手 海蓝色 256G全网通
5万+,2329.00,拍拍严选官方旗舰店,拍拍Apple iPhone XR 苹果xr二手手机 黑色【评价有礼】 128G
2万+,6799.00,中国移动官方旗舰店,Apple iPhone 13 (A2634) 256GB 午夜色 支持移动联通电信5G 双卡双待手机 【移动用户专享优惠】
2000+,3799.00,中国电信自营旗舰店,Apple iPhone# XR (A2108) 128GB 白色 移动联通电信4G手机 双卡双待
1万+,4939.00,京东电竞手机官方旗舰店,Apple 苹果 iPhone 12 全网通5G手机【苹果13店内可选】 白色 全网通 128GB【官方标配】
2000+,5999.00,Apple丰年时代专卖店,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 星光色 128G官配+原装20W闪充
1000+,6299.00,好采机二手手机旗舰店,【二手8成新】Apple iPhone12ProMax 苹果12 ProMax国行二手手机 海蓝色 256G全网通
1000+,3799.00,搜酷手机专营店,Apple 苹果 iPhone 11 （可选苹果 XR）双卡双待 手机 支持移动联通电信 4G 红色XR 128G 标准套装
2万+,2949.00,拍拍严选官方旗舰店,拍拍Apple iPhone XS Max 苹果xsmax手机  二手手机 金色 256G
2000+,5999.00,Apple古霖专卖店,Apple iPhone 13 (A2634) 支持移动联通电信5G 双卡双待手机 粉色 128GB
20万+,3599.00,Apple产品京东自营旗舰店,Apple iPhone 12 mini (A2400) 64GB 黑色 手机 支持移动联通电信5G
1万+,3599.00,拍拍严选官方旗舰店,拍拍【资源机99新】Apple iPhone 11 苹果11手机  拍拍严选 白色 128G
2000+,6299.00,好采机二手手机旗舰店,【二手9成新】Apple iPhone12ProMax 苹果12 ProMax国行原装二手 海蓝色 256G全网通
5000+,3079.00,卡仕盾优品二手手机专营店,拍拍【二手95新】苹果11 Apple iPhone 11 游戏手机 二手苹果手机 黑色 128G 全网通
2000+,9168.00,茄子手机旗舰店,Apple 苹果 iPhone 13 Pro Max (A2644) 全网通5G手机  128GB 远峰蓝色 官方标配
2万+,1489.00,拍拍严选官方旗舰店,拍拍Apple iPhone 8 Plus 苹果8plus二手手机 金色 64G
2000+,5869.00,上海电信京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机
1万+,5099.00,京合旗舰店,Apple/苹果 iPhone 12 全新国行双卡双待5G手机 紫色 128GB
1000+,6299.00,好采机二手手机旗舰店,【二手8成新】Apple iPhone12ProMax 苹果12 ProMax国行二手手机 海蓝色 256G全网通
500+,7769.00,上海移动京东官方自营旗舰店,Apple iPhone 12 Pro (A2408) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机
1万+,5818.00,鹏瑶旗舰店,【12期免息可选】Apple 苹果 iPhone 13 (A2634)双卡双待 苹果13系列5G手机 星光色 全网通 128GB(官方标配)
5000+,10009.00,京东之家官方旗舰店,Apple 苹果 iPhone 13 Pro（A2639）全网通5G手机 256G 石墨色 套装三：搭配 12期白条免息
5000+,5869.00,佳沪电商旗舰店,Apple 苹果 iPhone 13 5G手机 128GB 红色 官方标配
1万+,1129.00,拍拍严选官方旗舰店,拍拍Apple iPhone 8 苹果8二手手机 金色 64G
5万+,4398.00,疆界互联旗舰店,【12/24期分期0首付】Apple 苹果 iphone 11 手机 黑色 全网通128GB（新包装）
2万+,4249.00,拍拍严选官方旗舰店,拍拍苹果 Apple iPhone 苹果12  苹二手手机 大陆国行备用机 5G手机 黑色 128GB
2万+,5888.00,OKSJ手机旗舰店,【春节不打烊】Apple苹果 iPhone 13 (A2634) 双卡双待全网通5G手机 128GB  粉色 官方标配
2000+,9998.00,耐谷手机旗舰店,Apple 苹果13Pro Max iPhone 13Pro Max 5G手机 远峰蓝色 256GB
1万+,1599.00,卡仕盾优品二手手机专营店,拍拍【二手9成新】苹果8Plus手机 Apple iPhone 8Plus 苹果8P 二手手机 深空灰 64G 全网通
5000+,3029.00,爱相随二手手机专营店,【二手95新】Apple iPhone 11 苹果11双卡双待 二手手机 白色 128G 全网通【评价有礼】
2000+,2329.00,卡仕盾优品二手手机专营店,拍拍【二手9成新】苹果xr Apple iPhone XR x 双卡双待 苹果手机 黑色 128G 全网通
200+,4958.00,京东之家官方旗舰店,Apple 苹果 iPhone 12（A2404） 5G手机 黑色 128G 套装一：搭配 90天品胜碎屏保障
500+,9099.00,搜酷手机专营店,Apple iPhone 苹果 13 Pro Max (A2644) 支持移动联通电信5G 双卡双待 远峰蓝色 128G 官方标配
2000+,8048.00,炜东电商旗舰店,【12期免息可选】Apple 苹果 iPhone 13 Pro (A2639)5G 双卡双待手机 远峰蓝色 128GB（标配赠90天碎屏险）
1000+,4399.00,在一起二手手机专营店,拍拍【二手99新】苹果12 Apple iPhone 12 (A2404) 二手手机 5G全网通双卡双待 白色 128G 全网通
1000+,5149.00,搜酷手机专营店,Apple 苹果 iPhone 12 (A2404)  双卡双待 手机 支持移动联通电信5G 黑色 128G 全网通官配
1000+,9799.00,Apple古霖专卖店,Apple iPhone 13 Pro Max (A2644)  支持移动联通电信5G 双卡双待手机 远峰蓝色 256GB
5000+,9388.00,酷族数码旗舰店,Apple/苹果13Pro  iPhone 13 Pro全网通5G手机【苹果12店内可选】 远峰蓝色 全网通 256G【官方标配】
1000+,9828.00,京东电竞手机官方旗舰店,Apple 苹果iPhone 13 Pro Max (A2644)【12期免息可选】全网通5G手机 远峰蓝色 256GB【官方标配】
1000+,3599.00,冰之凯盛手机旗舰店,Apple 苹果 iPhone XR 手机 老包装 现货速发 黑色 全网通128【新包装】
5000+,6499.00,中国电信自营旗舰店,Apple iPhone 13 (A2634) 256GB 星光色#支持移动联通电信5G 双卡双待手机
5000+,5829.00,佳沪电商旗舰店,Apple 苹果 iPhone 13 5G手机  128GB 午夜色 官方标配
500+,4099.00,好采机二手手机旗舰店,拍拍【二手99新】Apple iPhone11 Pro 苹果11pro 国行双卡二手手机 暗夜绿色 256G全网通【评价有礼】
1万+,5889.00,中国移动手机官方旗舰店,Apple 苹果13 (A2634) iPhone 13 全网通 5G双卡手机 粉色 128GB【官方标配+3大好礼】
2000+,6049.00,好采机二手手机旗舰店,拍拍【二手99新】Apple iPhone12Pro 苹果12 Pro 国行原装二手 海蓝色 256G全网通
500+,393.00,京致二手手机专营店,拍拍【二手9成新】苹果6 Apple iPhone 6  二手手机 备用机 4.7英寸 全网通 深空灰色 16G全网通【百分百电池】
